categoria,subcategoria,descripcion,unidades,precio,code,compare
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Tarro 240 ml,"1,00 €0,95 € /ud.",52728," 3,959 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Bote 460 ml,"1,35 € /ud.",13407," 2,935 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa en sobres individuales,12 sobres x 20 ml,"1,25 € /pack",23816," 5,209 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hellmann's,Tarro 450 ml,"3,25 €2,95 € /ud.",35840," 6,556 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hellmann's,Tarro 225 ml,"1,95 € /ud.",17052," 8,667 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Tarro 425 ml,"2,65 € /ud.",35839," 6,236 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Tarro 210 ml,"1,55 € /ud.",35838," 7,381 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Bote 430 ml,"2,65 € /ud.",17039," 6,163 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Ybarra,Bote 500 ml,"2,25 € /ud.",17038," 4,50 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa fina Kraft,Tarro 425 ml,"2,00 € /ud.",35361," 4,706 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Hacendado,Tarro 500 ml,"1,30 €1,20 € /ud.",15793," 2,40 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Hacendado,Bote 460 ml,"1,35 €1,25 € /ud.",15794," 2,718 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Hacendado,Bote 600 g,"1,30 € /ud.",23579," 2,167 €/kg"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Hacendado en sobres individuales,Paquete 12 sobres (240 g),"1,40 € /ud.",67586," 5,834 €/kg"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Heinz,Bote 650 g,"3,50 € /ud.",35837," 5,385 €/kg"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup zero azúcares añadidos Hacendado,Bote 600 g,"1,60 € /ud.",35343," 2,667 €/kg"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza a la antigua Hacendado,Tarro 200 g,"1,70 € /ud.",17229," 8,50 €/kg"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza de Dijon Hacendado,Tarro 200 g,"1,25 € /ud.",17228," 6,25 €/kg"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza clásica Hacendado,Bote 388 g,"1,35 € /ud.",23410," 3,48 €/kg"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli Chovi,Tarrina 180 ml,"1,35 € /ud.",17150," 7,50 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli Hacendado,Tarrina 200 ml,"1,10 € /ud.",17172," 5,50 €/L"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli en sobres individuales Hacendado,Paquete 8 sobres (160 ml),"1,50 € /ud.",17173," 9,375 €/L"
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,3 bricks x 400 g,"1,40 € /pack",17132," 1,167 €/kg"
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,3 mini bricks x 210 g,"1,10 €1,00 € /pack",17151," 1,588 €/kg"
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,Tarro 560 g,"0,95 €0,85 € /ud.",17108," 1,518 €/kg"
"Aceite, especias y salsas",Otras salsas,Tomate frito receta artesana Hacendado,Tarro 560 g,"2,40 € /ud.",17163," 4,286 €/kg"
"Aceite, especias y salsas",Otras salsas,Tomate frito receta artesana Hacendado,Tarro 300 g,"1,65 € /ud.",17131," 5,50 €/kg"
"Aceite, especias y salsas",Otras salsas,Tomate frito estilo casero Hacendado,Brick 380 g,"1,30 € /ud.",17153," 3,422 €/kg"
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g,"1,40 € /pack",17128," 2,223 €/kg"
"Aceite, especias y salsas",Otras salsas,Tomate frito sin azúcares añadidos Hacendado,Tarro 560 g,"1,20 €1,10 € /ud.",17330," 1,965 €/kg"
"Aceite, especias y salsas",Otras salsas,Tomate frito con cebolla Hacendado,Brick 380 g,"1,35 € /ud.",17154," 3,553 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa barbacoa Hacendado,Bote 350 g,"1,15 € /ud.",17346," 3,286 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa pimienta verde Hacendado,Sobre 50 g,"1,25 € /ud.",17502," 25,00 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa burger Hacendado,Bote 250 ml,"1,35 € /ud.",17347," 5,40 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa estilo argentino Hacendado,Bote 300 g,"1,60 €1,50 € /ud.",35780," 5,00 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa Piri Piri Hacendado,Botella 195 ml,"1,00 € /ud.",17396," 5,129 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa pesto con albahaca Hacendado,Tarro 190 g,"2,10 € /ud.",35438," 11,053 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa de tomate boloñesa Hacendado,Tarro 290 g,"1,65 €1,55 € /ud.",35545," 5,345 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa de tomate Basilico con albahaca Hacendado,Tarro 290 g,"1,50 €1,40 € /ud.",35546," 4,828 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa fresca Trufa Hacendado,Paquete 140 g,"1,45 € /ud.",17410," 10,358 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa fresca Queso Hacendado,Paquete 180 g,"1,45 € /ud.",17409," 8,056 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa fresca Pesto con albahaca Hacendado,Tarrina 150 g,"2,00 € /ud.",35186," 13,334 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa fresca Setas,Paquete 180 g,"1,55 € /ud.",35184," 8,612 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa fresca Carbonara Hacendado,Paquete 200 g,"1,55 € /ud.",35183," 7,75 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa de soja Hacendado,Botella 250 ml,"1,45 €1,40 € /ud.",17360," 5,60 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa teriyaki Hacendado,Botella 250 ml,"1,65 € /ud.",17362," 6,60 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa agridulce Salsas Asturianas,Bote 340 g,"1,70 € /ud.",22721," 5,00 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa thai chili dulce J-Lek,Botella 250 ml,"1,55 € /ud.",22613," 6,20 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa de soja sin gluten Hacendado,Botella 250 ml,"2,50 € /ud.",17382," 10,00 €/L"
"Aceite, especias y salsas",Otras salsas,Guacamole Hacendado,Tarrina 500 g,"3,59 € /ud.",3840," 7,18 €/kg"
"Aceite, especias y salsas",Otras salsas,Guacamole Hacendado,Tarrina 200 g,"1,75 € /ud.",3852," 8,75 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa yogur Hacendado,Bote 310 ml,"1,25 €1,20 € /ud.",17327," 3,871 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa mexicana Hacendado,Tarro 300 g,"1,25 € /ud.",16827," 4,167 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa Ranch Hacendado,Bote 250 ml,"1,35 € /ud.",17386," 5,40 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa césar Hacendado,Bote 310 ml,"1,40 € /ud.",17366," 4,517 €/L"
"Aceite, especias y salsas",Otras salsas,"Aliño de aceite, ajo y perejil Hacendado",Tarrina 150 ml,"1,50 € /ud.",17265," 10,00 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa miel y mostaza Hacendado,Bote 340 g,"1,50 €1,45 € /ud.",52467," 4,265 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa de trufas,Bote 80 g,"3,10 € /ud.",17259," 38,75 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa gajos rústica Hacendado,Bote 250 ml,"1,35 € /ud.",17348," 5,40 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa de queso Hacendado,Tarro 280 ml,"1,75 € /ud.",35344," 6,25 €/L"
"Aceite, especias y salsas",Otras salsas,Chili con carne Hacendado,Bote 420 g,"2,65 € /ud.",23137," 6,31 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa bechamel Knorr,Brick 500 ml,"2,25 € /ud.",86713," 4,50 €/L"
"Aceite, especias y salsas",Otras salsas,Extracto original de buey Bovril,Tarro 125 g,"3,00 € /ud.",7307," 24,00 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa cocktail Hacendado,Bote 460 ml,"1,50 €1,40 € /ud.",23072," 3,044 €/L"
"Aceite, especias y salsas",Otras salsas,Salsa romesco Ferrer,Tarro 130 g,"1,80 € /ud.",17290," 13,847 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa calçots Ferrer,Tarro 320 g,"2,69 € /ud.",17291," 8,407 €/kg"
"Aceite, especias y salsas",Otras salsas,Pasta de sésamo Tahini Hacendado,Tarro 200 g,"2,95 € /ud.",17441," 14,75 €/kg"
"Aceite, especias y salsas",Otras salsas,Salsa brava Hacendado,Bote 310 g,"1,80 € /ud.",35163," 5,807 €/kg"
Agua y refrescos,Agua,Agua mineral grande Font Agudes,Garrafa 8 L,"0,89 € /ud.",28039," 0,112 €/L"
Agua y refrescos,Agua,Agua mineral grande Font Agudes,Garrafa 6 L,"0,78 € /ud.",27335," 0,13 €/L"
Agua y refrescos,Agua,Agua mineral grande Font Agudes,"6 botellas x 1,5 L","1,50 € /pack",26992," 0,167 €/L"
Agua y refrescos,Agua,Agua mineral grande Font Agudes,"Botella 1,5 L","0,25 € /ud.",26993," 0,167 €/L"
Agua y refrescos,Agua,Agua mineral mediana Font Agudes,6 botellas x 1 L,"2,40 € /pack",28572," 0,40 €/L"
Agua y refrescos,Agua,Agua mineral mediana Font Agudes,Botella 1 L,"0,40 € /ud.",28573," 0,40 €/L"
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes,6 botellas x 500 ml,"1,32 € /pack",27062," 0,44 €/L"
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes,Botella 500 ml,"0,22 € /ud.",27514," 0,44 €/L"
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes tapón infantil,6 botellas x 330 ml,"1,44 € /pack",27576," 0,728 €/L"
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes tapón infantil,Botella 330 ml,"0,24 € /ud.",27575," 0,728 €/L"
Agua y refrescos,Agua,Agua mineral grande Bronchales,Garrafa 6 L,"1,26 € /ud.",28035," 0,21 €/L"
Agua y refrescos,Agua,Agua mineral grande Bronchales,"6 botellas x 1,5 L","2,34 € /pack",23448," 0,26 €/L"
Agua y refrescos,Agua,Agua mineral grande Bronchales,"Botella 1,5 L","0,39 € /ud.",23449," 0,26 €/L"
Agua y refrescos,Agua,Agua mineral mediana Bronchales,6 botellas x 1 L,"3,00 € /pack",28491," 0,50 €/L"
Agua y refrescos,Agua,Agua mineral mediana Bronchales,Botella 1 L,"0,50 € /ud.",28499," 0,50 €/L"
Agua y refrescos,Agua,Agua mineral pequeña Bronchales,6 botellas x 500 ml,"1,62 € /pack",27061," 0,54 €/L"
Agua y refrescos,Agua,Agua mineral pequeña Bronchales,Botella 500 ml,"0,27 € /ud.",27054," 0,54 €/L"
Agua y refrescos,Agua,Agua mineral pequeña Bronchales tapón infantil,6 botellas x 330 ml,"2,28 € /pack",28566," 1,152 €/L"
Agua y refrescos,Agua,Agua mineral pequeña Bronchales tapón infantil,Botella 330 ml,"0,38 € /ud.",28567," 1,152 €/L"
Agua y refrescos,Agua,Agua mineral grande Bezoya,"6 botellas x 1,5 L","4,44 €4,14 € /pack",27314," 0,46 €/L"
Agua y refrescos,Agua,Agua mineral grande Bezoya,"Botella 1,5 L","0,74 €0,69 € /ud.",27230," 0,46 €/L"
Agua y refrescos,Agua,Agua mineral grande Ribes,Garrafa 8 L,"1,99 € /ud.",27292," 0,249 €/L"
Agua y refrescos,Agua,Agua mineral grande Ribes,"6 botellas x 1,5 L","3,30 € /pack",27155," 0,367 €/L"
Agua y refrescos,Agua,Agua mineral grande Ribes,"Botella 1,5 L","0,55 € /ud.",27038," 0,367 €/L"
Agua y refrescos,Agua,Agua mineral grande Nestlé Aquarel,"6 botellas x 1,5 L","3,54 € /pack",27099," 0,394 €/L"
Agua y refrescos,Agua,Agua mineral grande Nestlé Aquarel,"Botella 1,5 L","0,59 € /ud.",27232," 0,394 €/L"
Agua y refrescos,Agua,Agua mineral grande Font Vella,"6 botellas x 1,5 L","4,20 € /pack",27350," 0,467 €/L"
Agua y refrescos,Agua,Agua mineral grande Font Vella,"Botella 1,5 L","0,73 € /ud.",27204," 0,487 €/L"
Agua y refrescos,Agua,Agua mineral grande Solán de Cabras,"6 botellas x 1,5 L","5,34 € /pack",27327," 0,594 €/L"
Agua y refrescos,Agua,Agua mineral grande Solán de Cabras,"Botella 1,5 L","0,89 € /ud.",27356," 0,594 €/L"
Agua y refrescos,Agua,Agua mineral grande Viladrau,"6 botellas x 1,5 L","3,78 € /pack",27253," 0,42 €/L"
Agua y refrescos,Agua,Agua mineral grande Viladrau,"Botella 1,5 L","0,63 € /ud.",27221," 0,42 €/L"
Agua y refrescos,Agua,Agua de coco Chaokoh 100% natural,Brick 1 L,"2,60 € /ud.",28198," 2,60 €/L"
Agua y refrescos,Agua,Agua mineral con gas grande Vichy Catalan,Botella 1 L,"1,49 € /ud.",27213," 1,49 €/L"
Agua y refrescos,Agua,Agua mineral con gas pequeña Vichy Catalan,6 botellas x 300 ml,"5,89 € /pack",28185," 3,273 €/L"
Agua y refrescos,Agua,Agua mineral con gas grande Cortes,"6 botellas x 1,5 L","2,46 € /pack",27366," 0,274 €/L"
Agua y refrescos,Agua,Agua mineral con gas grande Cortes,"Botella 1,5 L","0,41 € /ud.",27367," 0,274 €/L"
Agua y refrescos,Agua,Agua mineral con gas pequeña Cortes,6 botellas x 500 ml,"1,62 € /pack",27368," 0,54 €/L"
Agua y refrescos,Agua,Agua mineral con gas pequeña Cortes,Botella 500 ml,"0,27 € /ud.",27369," 0,54 €/L"
Agua y refrescos,Agua,Agua mineral con gas grande San Narciso,Botella 1 L,"1,29 € /ud.",27084," 1,29 €/L"
Agua y refrescos,Agua,Agua mineral con gas grande San Pellegrino,6 botellas x 1 L,"8,16 € /pack",27894," 1,36 €/L"
Agua y refrescos,Agua,Agua mineral con gas grande San Pellegrino,Botella 1 L,"1,36 € /ud.",27893," 1,36 €/L"
Agua y refrescos,Agua,Agua de soda con sifón La Casa,"Botella 1,5 L","1,60 € /ud.",27203," 1,067 €/L"
